actor,character,first_appearance,company,purchase_date,shares,Date,Open,High,Low,Close,Volume,OpenInt,Unnamed: 0,make,fuel_type,aspiration,num_of_doors,body_style,drive_wheels,engine_location,wheel_base,length,width,height,curb_weight,engine_type,num_of_cylinders,engine_size,fuel_system,compression_ratio,horsepower,peak_rpm,city_mpg,highway_mpg,price
,,,,,,2019-09-04,24.83,25.2,23.58,23.95,453800.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-09-08,24.67,24.67,23.63,23.8,193300.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-09-09,23.88,23.93,22.22,22.34,312100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-09-10,22.25,23.86,22.11,23.03,336180.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-09-11,22.94,22.97,22.2,22.5,399400.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-09-14,22.46,24.62,22.21,23.19,438200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-09-15,23.47,23.49,22.53,22.56,153600.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-09-16,22.66,24.14,22.38,23.93,171300.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-09-17,23.8,24.19,23.04,23.65,248100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-09-18,23.33,24.22,23.01,23.78,267700.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-09-21,23.87,23.87,22.94,23.55,180600.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-09-22,23.18,23.45,22.24,23.15,229500.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-09-23,23.37,24.94,23.14,24.19,401500.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-09-24,24.15,24.81,23.78,24.68,383250.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-09-25,24.85,25.61,24.52,25.44,628500.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-09-28,25.21,25.5,22.13,23.4,988633.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-09-29,23.4,23.79,22.6,23.47,333100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-09-30,23.52,24.14,22.1,22.25,419000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-10-01,22.27,22.69,22.11,22.59,197400.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-10-02,22.42,24.48,22.42,24.43,295100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-10-05,24.71,28.72,24.71,27.73,578755.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-10-06,27.86,28.46,26.4,27.0,373000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-10-07,27.34,27.34,26.52,26.86,299400.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-10-08,26.56,26.93,26.29,26.76,108700.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-10-09,26.74,27.11,25.72,26.22,193100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-10-12,26.29,27.0,26.14,26.76,253132.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-10-13,26.58,27.16,25.39,26.9,286900.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-10-14,27.4,27.4,25.81,26.66,164300.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-10-15,26.63,27.08,25.99,26.77,187500.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-10-16,26.82,28.35,25.21,27.18,762100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-10-19,27.02,28.72,26.84,28.47,387300.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-10-20,28.42,28.59,27.31,28.03,142612.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-10-21,27.99,28.04,25.68,26.49,204400.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-10-22,26.71,26.71,24.83,25.66,410200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-10-23,26.08,27.1,25.76,26.01,122600.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-10-26,26.01,26.61,25.05,26.16,176000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-10-27,26.02,27.24,25.52,25.72,264200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-10-28,28.4,28.4,22.66,23.76,659600.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-10-29,23.53,25.0,23.5,23.51,269300.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-10-30,23.47,23.63,22.68,23.2,257900.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-11-02,23.18,23.2,22.1,22.33,303179.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-11-03,22.21,22.54,21.48,21.79,392600.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-11-04,21.77,24.64,21.77,24.06,272446.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-11-05,24.1,24.41,23.46,24.25,93700.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-11-06,24.14,24.66,23.91,24.5,103800.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-11-09,24.5,24.84,23.44,23.51,157552.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-11-10,23.39,23.86,23.32,23.57,109600.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-11-11,23.68,23.92,22.0,22.56,252000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-11-12,22.29,22.65,22.15,22.5,173900.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-11-13,22.16,23.12,22.04,22.68,74900.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-11-16,22.65,23.19,22.15,22.58,172900.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-11-17,22.6,23.9,22.42,22.52,109000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-11-18,22.5,23.75,22.43,22.52,257700.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-11-19,22.53,22.78,22.05,22.4,185600.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-11-20,22.62,23.47,22.53,23.26,99600.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-11-23,23.13,24.5,23.13,23.7,158000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-11-24,23.66,24.89,23.66,23.96,128100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-11-25,23.92,25.05,23.92,24.63,216200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-11-27,24.65,25.0,24.2,24.24,62000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-11-30,24.26,24.79,24.26,24.54,130400.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-12-01,24.62,24.82,21.14,24.72,149113.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-12-02,24.65,24.68,23.72,23.88,71755.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-12-03,23.88,24.24,22.37,22.68,119103.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-12-04,22.84,23.67,21.59,22.46,284600.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-12-07,22.37,22.9,21.02,21.63,178800.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-12-08,21.56,23.49,21.35,22.84,469448.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-12-09,23.0,24.59,21.91,22.87,291500.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-12-10,23.11,24.5,22.86,22.96,233500.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-12-11,22.6,23.91,22.37,23.38,447100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-12-14,23.17,24.0,21.8,22.51,157194.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-12-15,22.64,23.91,22.24,22.37,311300.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-12-16,22.58,22.9,21.72,22.55,355800.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-12-17,22.23,23.69,22.23,22.72,336600.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-12-18,22.8,23.53,21.95,22.06,208700.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-12-21,22.09,22.09,18.25,21.32,1249200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-12-22,21.18,21.38,20.19,20.22,234302.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-12-23,20.15,20.41,18.67,18.82,332900.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-12-24,18.63,19.64,18.63,19.23,99768.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-12-28,19.04,19.36,18.33,18.74,227137.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-12-29,18.82,19.25,18.5,18.6,84701.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-12-30,18.51,19.06,18.34,18.55,92730.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-12-31,18.55,19.25,18.477,19.06,153629.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-01-04,18.88,18.95,18.07,18.52,119601.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-01-05,18.58,19.5,18.55,19.46,104795.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-01-06,19.5,19.535,18.76,19.01,126818.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-01-07,18.75,18.93,18.01,18.2,98535.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-01-08,18.2,18.72,17.66,18.11,227058.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-01-11,18.25,18.36,17.21,17.46,98576.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-01-12,17.58,18.1789,16.46,16.9,201888.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-01-13,16.9,16.91,15.91,16.24,238805.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-01-14,16.27,17.7,16.17,17.27,210645.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-01-15,16.91,16.96,16.185,16.77,175397.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-01-19,16.71,16.96,15.39,15.54,163100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-01-20,15.47,16.45,14.36,16.36,351533.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-01-21,16.38,17.37,16.28,16.54,134088.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-01-22,16.94,17.155,16.51,16.69,116747.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-01-25,16.69,18.9,16.69,18.35,337681.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-01-26,18.44,19.5,18.01,19.46,153214.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-01-27,19.18,19.53,17.82,19.48,342479.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-01-28,19.68,19.94,16.44,17.15,295287.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-01-29,17.17,18.13,17.17,17.86,283578.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-02-01,17.75,19.2,17.69,18.65,395583.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-02-02,18.54,18.85,17.98,18.02,147476.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-02-03,18.1,18.4,17.54,18.27,88722.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-02-04,18.23,19.9,17.89,19.58,254267.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-02-05,19.47,19.97,19.0456,19.37,145625.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-02-08,19.19,19.86,18.26,19.31,459991.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-02-09,19.15,19.85,18.37,19.47,238206.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-02-10,19.55,20.08,19.18,19.59,84441.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-02-11,19.51,19.95,19.385,19.83,122851.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-02-12,19.98,20.92,19.868,20.13,271571.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-02-16,20.25,22.185,20.035,21.0,211663.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-02-17,21.0,22.61,20.91,22.26,320303.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-02-18,22.53,22.7269,21.04,21.35,239184.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-02-19,21.31,21.5,20.31,21.45,199652.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-02-22,21.86,23.13,21.46,22.68,378930.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-02-23,22.13,24.11,21.69,23.24,572062.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-02-24,22.79,23.895,22.79,23.06,184904.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-02-25,22.75,23.03,21.34,22.73,548394.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-02-26,22.7,22.925,21.09,21.74,235820.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-02-29,22.05,22.05,20.12,20.4,214048.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-03-01,20.4,20.92,20.24,20.34,111761.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-03-02,20.16,20.32,19.79,19.95,143925.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-03-03,19.86,20.54,19.66,19.91,315240.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-03-04,20.02,20.03,18.62,18.87,232118.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-03-07,18.99,19.029,17.65,17.8,248187.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-03-08,17.75,17.75,16.6,16.63,435088.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-03-09,16.59,17.19,16.27,16.97,379130.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-03-10,17.13,18.0,16.62,16.94,358777.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-03-11,17.03,18.64,16.95,18.07,356804.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-03-14,18.0,18.3,17.62,18.01,140212.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-03-15,17.81,17.8201,16.5791,17.04,163311.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-03-16,17.02,17.5,16.82,16.99,82331.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-03-17,17.04,18.22,16.725,17.9,225143.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-03-18,18.03,21.69,17.76,19.88,2035885.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-03-21,19.92,20.32,19.09,20.25,307640.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-03-22,20.0,20.1699,19.03,19.17,253739.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-03-23,19.2,19.24,18.08,18.21,231154.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-03-24,18.18,18.48,17.99,18.38,124236.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-03-28,18.66,19.015,18.22,18.43,311638.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-03-29,18.29,18.635,17.95,18.39,193541.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-03-30,18.62,19.72,18.41,19.61,353976.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-03-31,19.68,20.44,19.4807,19.79,428204.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-04-01,19.66,20.46,19.281,20.37,348467.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-04-04,20.97,20.97,19.64,20.11,202669.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-04-05,19.92,20.27,18.01,18.47,282488.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-04-06,18.95,19.04,17.81,18.57,293095.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-04-07,18.41,19.52,18.41,19.02,244085.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-04-08,19.11,19.37,18.5,18.69,302626.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-04-11,18.72,18.72,17.87,18.25,135463.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-04-12,18.25,18.642,17.695,18.44,146809.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-04-13,18.5,19.77,18.5,19.53,208167.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-04-14,19.15,20.01,18.85,19.87,220254.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-04-15,19.89,19.89,19.13,19.3,131688.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-04-18,19.08,19.37,18.83,19.02,134194.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-04-19,19.35,19.69,18.99,19.55,101849.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-04-20,19.52,20.9,19.45,20.56,201175.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-04-21,20.68,20.94,20.07,20.11,92220.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-04-22,20.19,20.95,20.19,20.63,121265.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-04-25,20.9,20.9,19.82,19.96,77923.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-04-26,19.93,20.31,19.89,20.18,111728.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-04-27,20.07,20.51,19.93,20.46,88539.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-04-28,20.52,21.03,20.51,20.67,210377.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-04-29,20.59,20.67,19.73,20.59,137904.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-05-02,20.53,20.53,19.58,20.06,152641.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-05-03,19.84,20.56,19.6,20.39,81523.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-05-04,20.42,20.4799,19.44,19.53,112262.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-05-05,21.15,22.54,20.72,21.5,464244.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-05-06,21.32,21.84,21.16,21.34,148874.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-05-09,21.34,21.94,20.78,21.53,115742.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-05-10,21.76,22.46,20.74,21.67,161959.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-05-11,21.58,21.71,21.165,21.39,44297.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-05-12,21.45,21.81,20.32,20.35,134990.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-05-13,20.35,20.72,20.2701,20.46,71005.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-05-16,20.49,20.67,20.165,20.54,128001.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-05-17,20.61,20.61,19.39,19.72,149000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-05-18,19.7,20.14,19.58,19.87,97916.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-05-19,19.82,19.83,19.49,19.63,86444.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-05-20,19.6,20.16,19.16,19.85,54409.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-05-23,19.81,20.23,19.42,19.99,95896.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-05-24,20.0,21.0,19.55,20.89,120330.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-05-25,21.58,22.45,21.04,21.2,370729.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-05-26,21.28,21.57,20.58,20.67,121590.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-05-27,20.6,21.5699,20.38,21.39,171630.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-05-31,21.52,21.795,21.27,21.51,80505.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-06-01,21.08,22.21,21.08,22.21,269594.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-06-02,22.15,22.5,21.73,22.19,169194.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-06-03,22.13,22.5,21.46,21.49,101547.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-06-06,21.39,21.96,20.99,21.77,167181.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-06-07,21.71,22.48,21.6,22.28,129516.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-06-08,22.21,22.31,21.46,21.58,207074.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-06-09,21.42,21.465,20.77,21.09,136666.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-06-10,20.87,20.87,20.01,20.16,114091.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-06-13,20.04,20.73,19.73,19.96,115608.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-06-14,19.81,20.4,19.56,19.9,110568.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-06-15,20.42,20.53,19.6965,19.87,115615.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-06-16,19.82,20.41,19.75,19.88,114770.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-06-17,19.88,19.96,19.0,19.24,190093.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-06-20,19.7,20.02,19.53,19.56,79030.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-06-21,19.52,19.73,19.09,19.64,101132.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-06-22,19.67,20.32,19.28,19.94,153754.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-06-23,20.22,20.54,19.81,20.49,75855.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-06-24,19.64,20.88,19.12,20.75,383742.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-06-27,20.46,20.46,19.495,20.03,227073.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-06-28,20.36,21.105,20.1,21.08,162217.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-06-29,21.38,22.0,21.26,22.0,107303.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-06-30,22.03,22.91,21.86,22.82,119200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-07-01,22.32,23.31,22.32,22.74,171300.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-07-05,22.84,22.84,21.74,22.5,62702.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-07-06,22.24,22.4,21.5412,22.28,134739.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-07-07,22.41,22.87,22.31,22.77,37845.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-07-08,23.0,23.2,22.55,22.65,156291.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-07-11,22.78,22.795,21.47,22.49,93272.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-07-12,22.77,22.77,22.25,22.42,112817.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-07-13,22.37,22.76,22.11,22.44,111842.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-07-14,22.71,23.09,22.7,22.92,57873.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-07-15,23.04,23.0999,22.5001,22.99,60147.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-07-18,23.13,23.15,22.92,23.03,86330.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-07-19,22.89,23.15,22.33,22.59,81504.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-07-20,22.56,22.64,21.79,21.84,111483.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-07-21,21.71,22.21,21.61,21.85,68696.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-07-22,21.85,22.21,21.5,22.1,28578.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-07-25,22.12,22.88,21.77,22.62,61734.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-07-26,22.7,22.86,22.14,22.75,44092.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-07-27,22.74,24.38,22.73,23.52,185273.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-07-28,23.38,23.53,22.61,22.67,117135.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
